check_id	check_type	status	target	error_count	detail	observed	expected
STATE-Z007-B52-ACCESS-TOP	state_check	PASS	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_52_production_readonly_access_packet_template.json	0	null	"{""production_account_used"": false, ""remote_lifecycle_action_executed"": false, ""runtime_request_count"": 0, ""write_request_count"": 0}"	"{""production_account_used"": false, ""remote_lifecycle_action_executed"": false, ""runtime_request_count"": 0, ""write_request_count"": 0}"
STATE-Z007-B52-ACCESS-ANCHOR	state_check	PASS	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_52_production_readonly_access_packet_template.json	0	null	"{""go_live_ready"": false, ""production_readback_ready"": false, ""project_completion_claimed"": false, ""remote_lifecycle_parked"": true}"	"{""go_live_ready"": false, ""production_readback_ready"": false, ""project_completion_claimed"": false, ""remote_lifecycle_parked"": true}"
STATE-Z007-B52-REMOTE-TOP	state_check	PASS	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_52_remote_lifecycle_authorization_checklist.json	0	null	"{""default_remote_authorization_granted"": false, ""production_account_used"": false, ""remote_lifecycle_action_executed"": false, ""runtime_request_count"": 0, ""write_request_count"": 0}"	"{""default_remote_authorization_granted"": false, ""production_account_used"": false, ""remote_lifecycle_action_executed"": false, ""runtime_request_count"": 0, ""write_request_count"": 0}"
STATE-Z007-B52-REMOTE-ANCHOR	state_check	PASS	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_52_remote_lifecycle_authorization_checklist.json	0	null	"{""go_live_ready"": false, ""production_readback_ready"": false, ""project_completion_claimed"": false, ""remote_lifecycle_parked"": true}"	"{""go_live_ready"": false, ""production_readback_ready"": false, ""project_completion_claimed"": false, ""remote_lifecycle_parked"": true}"
STATE-Z007-B58-BLOCKER-ANCHOR	state_check	PASS	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_58_z007_local_audit_blocker_matrix.json	0	null	"{""go_live_ready"": false, ""production_readback_ready"": false, ""project_completion_claimed"": false, ""remote_lifecycle_parked"": true}"	"{""go_live_ready"": false, ""production_readback_ready"": false, ""project_completion_claimed"": false, ""remote_lifecycle_parked"": true}"
STATE-Z007-B64-READABLE-TOP	state_check	PASS	/Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z007_pre_go_live_local_audit_packet/z007_local_audit_packet_readable_blocker_summary.json	0	null	"{""go_live_ready"": false, ""production_account_used"": false, ""production_readback_ready"": false, ""project_completion_claimed"": false, ""remote_lifecycle_action_executed"": false, ""remote_lifecycle_parked"": true, ""runtime_request_count"": 0, ""write_request_count"": 0}"	"{""go_live_ready"": false, ""production_account_used"": false, ""production_readback_ready"": false, ""project_completion_claimed"": false, ""remote_lifecycle_action_executed"": false, ""remote_lifecycle_parked"": true, ""runtime_request_count"": 0, ""write_request_count"": 0}"
STATE-Z008-B31-HOLD	state_check	PASS	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z008b_31_remaining_candidate_refresh.json	0	null	"{""go_live_ready"": false, ""production_readback_ready"": false, ""project_completion_claimed"": false, ""remote_lifecycle_parked"": true}"	"{""go_live_ready"": false, ""production_readback_ready"": false, ""project_completion_claimed"": false, ""remote_lifecycle_parked"": true}"
STATE-Z008-B26-CLOSED-LOCAL	state_check	PASS	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z008b_26_remaining_candidate_refresh.json	0	null	"{""z008_cand005_status"": ""LOCAL_CLOSED_COMMITTED""}"	"{""z008_cand005_status"": ""LOCAL_CLOSED_COMMITTED""}"
STATE-Z008-B31-CLOSED-LOCAL	state_check	PASS	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z008b_31_remaining_candidate_refresh.json	0	null	"{""z008_cand006_status"": ""LOCAL_CLOSED_COMMITTED""}"	"{""z008_cand006_status"": ""LOCAL_CLOSED_COMMITTED""}"
CANDIDATE-STATUS-Z007-B68-BLOCKERS	candidate_status_check	PASS	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_68_remaining_candidate_refresh.json	0	null	"{""Z007-CAND-005"": ""BLOCKED_EXTERNAL_DEPENDENCY"", ""Z007-CAND-006"": ""BLOCKED_EXTERNAL_DEPENDENCY"", ""Z007-CAND-007"": ""BLOCKED_EXTERNAL_DEPENDENCY"", ""Z007-CAND-008"": ""BLOCKED_REMOTE_LIFECYCLE""}"	"{""Z007-CAND-005"": ""BLOCKED_EXTERNAL_DEPENDENCY"", ""Z007-CAND-006"": ""BLOCKED_EXTERNAL_DEPENDENCY"", ""Z007-CAND-007"": ""BLOCKED_EXTERNAL_DEPENDENCY"", ""Z007-CAND-008"": ""BLOCKED_REMOTE_LIFECYCLE""}"
CANDIDATE-STATUS-Z007-B64-READABLE-BLOCKERS	candidate_status_check	PASS	/Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z007_pre_go_live_local_audit_packet/z007_local_audit_packet_readable_blocker_summary.json	0	null	"{""Z007-CAND-005"": ""BLOCKED_EXTERNAL_DEPENDENCY"", ""Z007-CAND-006"": ""BLOCKED_EXTERNAL_DEPENDENCY"", ""Z007-CAND-007"": ""BLOCKED_EXTERNAL_DEPENDENCY"", ""Z007-CAND-008"": ""BLOCKED_REMOTE_LIFECYCLE""}"	"{""Z007-CAND-005"": ""BLOCKED_EXTERNAL_DEPENDENCY"", ""Z007-CAND-006"": ""BLOCKED_EXTERNAL_DEPENDENCY"", ""Z007-CAND-007"": ""BLOCKED_EXTERNAL_DEPENDENCY"", ""Z007-CAND-008"": ""BLOCKED_REMOTE_LIFECYCLE""}"
LOCAL-CLOSURE-Z007-B68	local_closure_check	PASS	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_68_remaining_candidate_refresh.json	0	null	prefix_ok	LOCAL_*
THRESHOLD-EXTERNAL-DEPENDENCY	blocked_counter_threshold	PASS	blocked_external_dependency_count	0	null	3	>=3
THRESHOLD-REMOTE-LIFECYCLE	blocked_counter_threshold	PASS	blocked_remote_lifecycle_count	0	null	1	>=1
FORBID-B52-ACCESS-PRODUCTION-ACCOUNT-USED	forbidden_value_check	PASS	task_z007b_52_production_readonly_access_packet_template.json:production_account_used	0	null	false	!= True
FORBID-B52-ACCESS-REMOTE-LIFECYCLE-ACTION	forbidden_value_check	PASS	task_z007b_52_production_readonly_access_packet_template.json:remote_lifecycle_action_executed	0	null	false	!= True
FORBID-B52-REMOTE-ACCOUNT-USED	forbidden_value_check	PASS	task_z007b_52_remote_lifecycle_authorization_checklist.json:production_account_used	0	null	false	!= True
FORBID-B52-REMOTE-LIFECYCLE-ACTION	forbidden_value_check	PASS	task_z007b_52_remote_lifecycle_authorization_checklist.json:remote_lifecycle_action_executed	0	null	false	!= True
FORBID-B52-REMOTE-DEFAULT-GRANT	forbidden_value_check	PASS	task_z007b_52_remote_lifecycle_authorization_checklist.json:default_remote_authorization_granted	0	null	false	!= True
