check_id	category	target_path	status	expected	observed	residual_note	severity
CP-026	file_existence	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_52_remote_lifecycle_authorization_checklist.json	PASS	exists=true	exists=True	Z007-E009	BLOCKING
CP-027	file_existence	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/TASK-Z007B-58-IMPL_Z007上线前本地审计包完整性收敛执行报告.md	PASS	exists=true	exists=True	Z007-E010	BLOCKING
CP-028	file_existence	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_58_z007_local_audit_evidence_index.json	PASS	exists=true	exists=True	Z007-E011	BLOCKING
CP-029	file_existence	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_58_z007_local_audit_evidence_index.tsv	PASS	exists=true	exists=True	Z007-E012	BLOCKING
CP-030	file_existence	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_58_z007_local_audit_coverage_matrix.json	PASS	exists=true	exists=True	Z007-E013	BLOCKING
CP-031	file_existence	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_58_z007_local_audit_coverage_matrix.tsv	PASS	exists=true	exists=True	Z007-E014	BLOCKING
CP-032	file_existence	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_58_z007_local_audit_blocker_matrix.json	PASS	exists=true	exists=True	Z007-E015	BLOCKING
CP-033	file_existence	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_58_z007_local_audit_blocker_matrix.tsv	PASS	exists=true	exists=True	Z007-E016	BLOCKING
CP-034	file_existence	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_58_z007_local_audit_gate_command_template.json	PASS	exists=true	exists=True	Z007-E017	BLOCKING
CP-035	file_existence	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_58_z007_local_audit_gate_command_template.tsv	PASS	exists=true	exists=True	Z007-E018	BLOCKING
CP-036	file_existence	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/TASK-Z007B-64-IMPL_Z007上线前审计包可读化仪表盘执行报告.md	PASS	exists=true	exists=True	Z007-E019	BLOCKING
CP-037	file_existence	/Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z007_pre_go_live_local_audit_packet/index.html	PASS	exists=true	exists=True	Z007-E020	BLOCKING
CP-038	file_existence	/Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z007_pre_go_live_local_audit_packet/z007_local_audit_packet_readable_evidence_index.json	PASS	exists=true	exists=True	Z007-E021	BLOCKING
CP-039	file_existence	/Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z007_pre_go_live_local_audit_packet/z007_local_audit_packet_readable_evidence_index.tsv	PASS	exists=true	exists=True	Z007-E022	BLOCKING
CP-040	file_existence	/Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z007_pre_go_live_local_audit_packet/z007_local_audit_packet_readable_coverage_summary.json	PASS	exists=true	exists=True	Z007-E023	BLOCKING
CP-041	file_existence	/Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z007_pre_go_live_local_audit_packet/z007_local_audit_packet_readable_coverage_summary.tsv	PASS	exists=true	exists=True	Z007-E024	BLOCKING
CP-042	file_existence	/Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z007_pre_go_live_local_audit_packet/z007_local_audit_packet_readable_blocker_summary.json	PASS	exists=true	exists=True	Z007-E025	BLOCKING
CP-043	file_existence	/Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z007_pre_go_live_local_audit_packet/z007_local_audit_packet_readable_blocker_summary.tsv	PASS	exists=true	exists=True	Z007-E026	BLOCKING
CP-044	file_existence	/Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z007_pre_go_live_local_audit_packet/z007_local_audit_packet_readable_gate_command_checklist.json	PASS	exists=true	exists=True	Z007-E027	BLOCKING
CP-045	file_existence	/Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z007_pre_go_live_local_audit_packet/z007_local_audit_packet_readable_gate_command_checklist.tsv	PASS	exists=true	exists=True	Z007-E028	BLOCKING
CP-046	file_existence	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/TASK-Z007B-68_Z007可读化审计包提交后归档与候选刷新报告.md	PASS	exists=true	exists=True	Z007-E029	BLOCKING
CP-047	file_existence	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_68_remaining_candidate_refresh.json	PASS	exists=true	exists=True	Z007-E030	BLOCKING
CP-048	file_existence	/Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z008_local_acceptance_automation/verify_json_tsv_consistency.py	PASS	exists=true	exists=True	Z008-E001	BLOCKING
CP-049	file_existence	/Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z008_local_acceptance_automation/z008_json_tsv_consistency_result.json	PASS	exists=true	exists=True	Z008-E002	BLOCKING
CP-050	file_existence	/Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z008_local_acceptance_automation/verify_text_hygiene.py	PASS	exists=true	exists=True	Z008-E003	BLOCKING
CP-051	file_existence	/Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z008_local_acceptance_automation/z008_text_hygiene_result.json	PASS	exists=true	exists=True	Z008-E004	BLOCKING
CP-052	file_existence	/Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z008_local_acceptance_automation/verify_git_gates.py	PASS	exists=true	exists=True	Z008-E005	BLOCKING
CP-053	file_existence	/Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z008_local_acceptance_automation/z008_git_gate_result.json	PASS	exists=true	exists=True	Z008-E006	BLOCKING
CP-054	file_existence	/Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z008_local_acceptance_automation/verify_backend_contract_matrix.py	PASS	exists=true	exists=True	Z008-E007	BLOCKING
CP-055	file_existence	/Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z008_local_acceptance_automation/z008_backend_contract_matrix_result.json	PASS	exists=true	exists=True	Z008-E008	BLOCKING
CP-056	file_existence	/Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z008_local_acceptance_automation/verify_frontend_readonly_route_smoke.mjs	PASS	exists=true	exists=True	Z008-E009	BLOCKING
CP-057	file_existence	/Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z008_local_acceptance_automation/z008_frontend_readonly_route_smoke_browser_result.json	PASS	exists=true	exists=True	Z008-E010	BLOCKING
CP-058	file_existence	/Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z008_local_acceptance_automation/verify_local_audit_packet_integrity.py	PASS	exists=true	exists=True	Z008-E011	BLOCKING
CP-059	file_existence	/Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z008_local_acceptance_automation/z008_local_audit_packet_integrity_result.json	PASS	exists=true	exists=True	Z008-E012	BLOCKING
CP-060	file_existence	/Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z008_local_acceptance_automation/verify_blocker_state_anti_misjudge.py	PASS	exists=true	exists=True	Z008-E013	BLOCKING
CP-061	file_existence	/Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z008_local_acceptance_automation/z008_blocker_state_anti_misjudge_result.json	PASS	exists=true	exists=True	Z008-E014	BLOCKING
CP-062	file_existence	/Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z008_local_acceptance_automation/verify_zero_write_prod_remote_guard.py	PASS	exists=true	exists=True	Z008-E015	BLOCKING
CP-063	file_existence	/Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z008_local_acceptance_automation/z008_zero_write_prod_remote_guard_result.json	PASS	exists=true	exists=True	Z008-E016	BLOCKING
CP-064	file_existence	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/TASK-Z008B-41_Z008-CAND-008提交后归档与本地候选池关闭报告.md	PASS	exists=true	exists=True	Z008-E017	BLOCKING
CP-065	file_existence	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z008b_41_final_candidate_refresh.json	PASS	exists=true	exists=True	Z008-E018	BLOCKING
CP-066	file_existence	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/TASK-Z009B-02-IMPL_Z009本地验收Orchestrator最小实现与回归报告.md	PASS	exists=true	exists=True	Z009-E001	BLOCKING
CP-067	file_existence	/Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z008_local_acceptance_automation/verify_local_acceptance_orchestrator.py	PASS	exists=true	exists=True	Z009-E002	BLOCKING
CP-068	file_existence	/Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z008_local_acceptance_automation/z009_local_acceptance_orchestrator_result.json	PASS	exists=true	exists=True	Z009-E003	BLOCKING
CP-069	file_existence	/Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z008_local_acceptance_automation/z009_local_acceptance_orchestrator_subcheck_summary.json	PASS	exists=true	exists=True	Z009-E004	BLOCKING
CP-070	file_existence	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z009b_09_browser_login_rerun_freeze.json	PASS	exists=true	exists=True	Z009-E005	BLOCKING
CP-071	file_existence	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z009b_13_skip_aware_final_status_anchor.json	PASS	exists=true	exists=True	Z009-E006	BLOCKING
CP-072	file_existence	/Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z008_local_acceptance_automation/z009_local_acceptance_summary_dashboard.html	PASS	exists=true	exists=True	Z009-E007	BLOCKING
CP-073	file_existence	/Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z008_local_acceptance_automation/z009_local_acceptance_summary_dashboard.json	PASS	exists=true	exists=True	Z009-E008	BLOCKING
CP-074	file_existence	/Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z008_local_acceptance_automation/verify_post_orchestrator_regression_gate.py	PASS	exists=true	exists=True	Z009-E009	BLOCKING
CP-075	file_existence	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z009b_16_post_orchestrator_regression_freeze.json	PASS	exists=true	exists=True	Z009-E010	BLOCKING
CP-076	file_existence	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z009b_19_final_local_status_refresh.json	PASS	exists=true	exists=True	Z009-E011	BLOCKING
CP-077	file_existence	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z010b_01_documentation_candidate_pool.json	PASS	exists=true	exists=True	Z010-E001	BLOCKING
CP-078	file_existence	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/TASK-Z010B-02-IMPL_本地验收运行手册实现与核对报告.md	PASS	exists=true	exists=True	Z010-E002	BLOCKING
CP-079	file_existence	/Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z008_local_acceptance_automation/Z010_本地验收运行手册.md	PASS	exists=true	exists=True	Z010-E003	BLOCKING
CP-080	file_existence	/Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z008_local_acceptance_automation/z010_local_acceptance_runbook_index.json	PASS	exists=true	exists=True	Z010-E004	BLOCKING
CP-081	file_existence	/Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z008_local_acceptance_automation/z010_local_acceptance_runbook_index.tsv	PASS	exists=true	exists=True	Z010-E005	BLOCKING
CP-082	json_tsv_alignment	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z005b_24_z005_post_commit_final_readback_archive.json <-> /Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z005b_24_z005_post_commit_final_readback_archive.tsv	PASS	count/order/core_fields_consistent	json_count=26,tsv_count=26,mismatch_count=0		BLOCKING
CP-083	json_tsv_alignment	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z006b_15_go_live_acceptance_audit_bundle.json <-> /Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z006b_15_go_live_acceptance_audit_bundle.tsv	PASS	count/order/core_fields_consistent	json_count=20,tsv_count=20,mismatch_count=0		BLOCKING
CP-084	json_tsv_alignment	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z006b_25_remaining_candidate_refresh.json <-> /Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z006b_25_remaining_candidate_refresh.tsv	PASS	count/order/core_fields_consistent	json_count=4,tsv_count=4,mismatch_count=0		BLOCKING
CP-085	json_tsv_alignment	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_52_production_readonly_access_packet_template.json <-> /Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_52_production_readonly_access_packet_template.tsv	PASS	count/order/core_fields_consistent	json_count=3,tsv_count=3,mismatch_count=0		BLOCKING
CP-086	json_tsv_alignment	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_52_remote_lifecycle_authorization_checklist.json <-> /Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_52_remote_lifecycle_authorization_checklist.tsv	PASS	count/order/core_fields_consistent	json_count=4,tsv_count=4,mismatch_count=0	order key not found; order check skipped	BLOCKING
CP-087	json_tsv_alignment	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_58_z007_local_audit_blocker_matrix.json <-> /Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_58_z007_local_audit_blocker_matrix.tsv	PASS	count/order/core_fields_consistent	json_count=4,tsv_count=4,mismatch_count=0	order key not found; order check skipped	BLOCKING
CP-088	json_tsv_alignment	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_58_z007_local_audit_coverage_matrix.json <-> /Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_58_z007_local_audit_coverage_matrix.tsv	PASS	count/order/core_fields_consistent	json_count=7,tsv_count=7,mismatch_count=0	order key not found; order check skipped	BLOCKING
CP-089	json_tsv_alignment	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_58_z007_local_audit_evidence_index.json <-> /Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_58_z007_local_audit_evidence_index.tsv	PASS	count/order/core_fields_consistent	json_count=12,tsv_count=12,mismatch_count=0		BLOCKING
CP-090	json_tsv_alignment	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_58_z007_local_audit_gate_command_template.json <-> /Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_58_z007_local_audit_gate_command_template.tsv	PASS	count/order/core_fields_consistent	json_count=16,tsv_count=16,mismatch_count=0	order key not found; order check skipped	BLOCKING
CP-091	json_tsv_alignment	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_68_remaining_candidate_refresh.json <-> /Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z007b_68_remaining_candidate_refresh.tsv	PASS	count/order/core_fields_consistent	json_count=6,tsv_count=6,mismatch_count=0		BLOCKING
CP-092	json_tsv_alignment	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z008b_41_final_candidate_refresh.json <-> /Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z008b_41_final_candidate_refresh.tsv	PASS	count/order/core_fields_consistent	json_count=0,tsv_count=0,mismatch_count=0	order key not found; order check skipped	BLOCKING
CP-093	json_tsv_alignment	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z009b_13_skip_aware_final_status_anchor.json <-> /Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z009b_13_skip_aware_final_status_anchor.tsv	PASS	count/order/core_fields_consistent	json_count=1,tsv_count=1,mismatch_count=0		BLOCKING
CP-094	json_tsv_alignment	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z009b_19_final_local_status_refresh.json <-> /Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z009b_19_final_local_status_refresh.tsv	PASS	count/order/core_fields_consistent	json_count=1,tsv_count=1,mismatch_count=0		BLOCKING
CP-095	json_tsv_alignment	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z010b_01_documentation_candidate_pool.json <-> /Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z010b_01_documentation_candidate_pool.tsv	PASS	count/order/core_fields_consistent	json_count=5,tsv_count=5,mismatch_count=0		BLOCKING
CP-096	json_tsv_alignment	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z010b_10_final_local_status_refresh.json <-> /Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z010b_10_final_local_status_refresh.tsv	PASS	count/order/core_fields_consistent	json_count=1,tsv_count=1,mismatch_count=0		BLOCKING
CP-097	json_tsv_alignment	/Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z011b_01_gap_closure_candidate_pool.json <-> /Users/hh/Desktop/领意服装管理系统/03_需求与设计/02_开发计划/task_z011b_01_gap_closure_candidate_pool.tsv	PASS	count/order/core_fields_consistent	json_count=9,tsv_count=9,mismatch_count=0		BLOCKING
CP-098	json_tsv_alignment	/Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z007_pre_go_live_local_audit_packet/z007_local_audit_packet_readable_blocker_summary.json <-> /Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z007_pre_go_live_local_audit_packet/z007_local_audit_packet_readable_blocker_summary.tsv	PASS	count/order/core_fields_consistent	json_count=4,tsv_count=4,mismatch_count=0		BLOCKING
CP-099	json_tsv_alignment	/Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z007_pre_go_live_local_audit_packet/z007_local_audit_packet_readable_coverage_summary.json <-> /Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z007_pre_go_live_local_audit_packet/z007_local_audit_packet_readable_coverage_summary.tsv	PASS	count/order/core_fields_consistent	json_count=7,tsv_count=7,mismatch_count=0	order key not found; order check skipped	BLOCKING
CP-100	json_tsv_alignment	/Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z007_pre_go_live_local_audit_packet/z007_local_audit_packet_readable_evidence_index.json <-> /Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z007_pre_go_live_local_audit_packet/z007_local_audit_packet_readable_evidence_index.tsv	PASS	count/order/core_fields_consistent	json_count=12,tsv_count=12,mismatch_count=0		BLOCKING
CP-101	json_tsv_alignment	/Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z007_pre_go_live_local_audit_packet/z007_local_audit_packet_readable_gate_command_checklist.json <-> /Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z007_pre_go_live_local_audit_packet/z007_local_audit_packet_readable_gate_command_checklist.tsv	PASS	count/order/core_fields_consistent	json_count=16,tsv_count=16,mismatch_count=0	order key not found; order check skipped	BLOCKING
CP-102	json_tsv_alignment	/Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z008_local_acceptance_automation/z008_backend_contract_matrix_result.json <-> /Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z008_local_acceptance_automation/z008_backend_contract_matrix_result.tsv	PASS	count/order/core_fields_consistent	json_count=4,tsv_count=4,mismatch_count=0	order key not found; order check skipped	BLOCKING
CP-103	json_tsv_alignment	/Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z008_local_acceptance_automation/z008_blocker_state_anti_misjudge_result.json <-> /Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z008_local_acceptance_automation/z008_blocker_state_anti_misjudge_result.tsv	PASS	count/order/core_fields_consistent	json_count=51,tsv_count=51,mismatch_count=0		BLOCKING
CP-104	json_tsv_alignment	/Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z008_local_acceptance_automation/z008_git_gate_result.json <-> /Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z008_local_acceptance_automation/z008_git_gate_result.tsv	PASS	count/order/core_fields_consistent	json_count=11,tsv_count=11,mismatch_count=0	order key not found; order check skipped	BLOCKING
CP-105	json_tsv_alignment	/Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z008_local_acceptance_automation/z008_json_tsv_consistency_result.json <-> /Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z008_local_acceptance_automation/z008_json_tsv_consistency_result.tsv	PASS	count/order/core_fields_consistent	json_count=10,tsv_count=10,mismatch_count=0	order key not found; order check skipped	BLOCKING
CP-106	json_tsv_alignment	/Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z008_local_acceptance_automation/z008_local_audit_packet_integrity_result.json <-> /Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z008_local_acceptance_automation/z008_local_audit_packet_integrity_result.tsv	PASS	count/order/core_fields_consistent	json_count=127,tsv_count=127,mismatch_count=0		BLOCKING
CP-107	json_tsv_alignment	/Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z008_local_acceptance_automation/z008_text_hygiene_result.json <-> /Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z008_local_acceptance_automation/z008_text_hygiene_result.tsv	PASS	count/order/core_fields_consistent	json_count=37,tsv_count=37,mismatch_count=0		BLOCKING
CP-108	json_tsv_alignment	/Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z008_local_acceptance_automation/z008_zero_write_prod_remote_guard_result.json <-> /Users/hh/Desktop/领意服装管理系统/04_测试与验收/测试证据/z008_local_acceptance_automation/z008_zero_write_prod_remote_guard_result.tsv	PASS	count/order/core_fields_consistent	json_count=141,tsv_count=141,mismatch_count=0	order key not found; order check skipped	BLOCKING
