decision	category	path
NO	historical dirty forbidden	07_后端/lingyi_service/tests/test_bom_permissions.py
NO	historical dirty forbidden	07_后端/lingyi_service/tests/test_logging_sanitization.py
NO	historical dirty forbidden	07_后端/lingyi_service/tests/test_permission_governance_audit_export.py
NO	historical dirty forbidden	07_后端/lingyi_service/tests/test_request_id_sanitization.py
NO	historical dirty forbidden	07_后端/lingyi_service/tests/test_style_profit_api.py
NO	historical dirty forbidden	07_后端/lingyi_service/tests/test_subcontract_company_permission.py
NO	historical dirty forbidden	07_后端/lingyi_service/tests/test_workshop_permissions.py
NO	Z029 candidate pool	03_需求与设计/02_开发计划/TASK-Z029B-01-PREP_Z029本地候选池重建报告.md
NO	Z029 candidate pool	03_需求与设计/02_开发计划/task_z029b_01_candidate_pool.json
NO	Z029 candidate pool	03_需求与设计/02_开发计划/task_z029b_01_candidate_pool.tsv
NO	other candidate scope	Z029-CAND-002 scope
NO	other candidate scope	Z029-CAND-003 scope
NO	other candidate scope	Z029-CAND-004 scope
NO	other candidate scope	Z029-CAND-005 scope
NO	frontend	06_前端/**
NO	backend app	07_后端/lingyi_service/app/**
NO	old cycle artifacts	03_需求与设计/02_开发计划/*Z015*
NO	old cycle artifacts	03_需求与设计/02_开发计划/*Z016*
NO	old cycle artifacts	03_需求与设计/02_开发计划/*Z017*
NO	old cycle artifacts	03_需求与设计/02_开发计划/*Z018*
NO	old cycle artifacts	03_需求与设计/02_开发计划/*Z019*
NO	old cycle artifacts	03_需求与设计/02_开发计划/*Z020*
NO	old cycle artifacts	03_需求与设计/02_开发计划/*Z021*
NO	old cycle artifacts	03_需求与设计/02_开发计划/*Z022*
NO	old cycle artifacts	03_需求与设计/02_开发计划/*Z023*
NO	old cycle artifacts	03_需求与设计/02_开发计划/*Z024*
NO	old cycle artifacts	03_需求与设计/02_开发计划/*Z025*
NO	old cycle artifacts	03_需求与设计/02_开发计划/*Z026*
NO	old cycle artifacts	03_需求与设计/02_开发计划/*Z027*
NO	old cycle artifacts	03_需求与设计/02_开发计划/*Z028*
NO	runtime cache	.pytest_cache/**
NO	runtime cache	07_后端/lingyi_service/.pytest_cache/**
NO	runtime cache	07_后端/lingyi_service/__pycache__/**
NO	runtime cache	07_后端/lingyi_service/**/__pycache__/**
