decision	path	category	reason
YES	03_需求与设计/02_开发计划/TASK-Z028B-06-LEDGER-CAND001_factory_statement_confirm_cancel提交候选账本报告.md	B06 ledger evidence	Current ledger report
YES	03_需求与设计/02_开发计划/task_z028b_06_cand001_freeze.json	B06 ledger evidence	Current freeze JSON
YES	03_需求与设计/02_开发计划/task_z028b_06_cand001_ledger.json	B06 ledger evidence	Current ledger JSON
YES	03_需求与设计/02_开发计划/task_z028b_06_cand001_ledger.tsv	B06 ledger evidence	Current ledger TSV
YES	07_后端/lingyi_service/tests/test_factory_statement_confirm_cancel.py	allowed backend test	Only allowed CAND001 test-contract fix file
NO	00_交接与日志/HANDOVER_STATUS.md	historical dirty forbidden	Scope diag identified unrelated historical dirty; must not enter CAND001 ledger YES
NO	03_需求与设计/01_架构设计/架构师会话日志.md	historical dirty forbidden	Scope diag identified unrelated historical dirty; must not enter CAND001 ledger YES
NO	03_需求与设计/02_开发计划/工程师会话日志.md	historical dirty forbidden	Scope diag identified unrelated historical dirty; must not enter CAND001 ledger YES
NO	06_前端/lingyi-pc/src/views/cross_module/CrossModuleView.vue	historical dirty forbidden	Frontend historical dirty excluded
NO	06_前端/lingyi-pc/src/views/production/ProductionPlanList.vue	historical dirty forbidden	Frontend historical dirty excluded
NO	06_前端/lingyi-pc/src/views/quality/QualityInspectionDetail.vue	historical dirty forbidden	Frontend historical dirty excluded
NO	06_前端/lingyi-pc/src/views/quality/QualityInspectionList.vue	historical dirty forbidden	Frontend historical dirty excluded
NO	06_前端/lingyi-pc/src/views/sales_inventory/SalesInventorySalesOrderDetail.vue	historical dirty forbidden	Frontend historical dirty excluded
NO	06_前端/lingyi-pc/src/views/sales_inventory/SalesInventorySalesOrderList.vue	historical dirty forbidden	Frontend historical dirty excluded
NO	07_后端/lingyi_service/app/schemas/report.py	historical dirty forbidden	Backend app historical dirty excluded
NO	07_后端/lingyi_service/app/services/report_catalog_service.py	historical dirty forbidden	Backend app historical dirty excluded
NO	07_后端/lingyi_service/app/services/system_config_catalog_service.py	historical dirty forbidden	Backend app historical dirty excluded
NO	07_后端/lingyi_service/tests/test_bom_permissions.py	historical dirty forbidden	Unrelated backend test historical dirty excluded
NO	07_后端/lingyi_service/tests/test_logging_sanitization.py	historical dirty forbidden	Unrelated backend test historical dirty excluded
NO	07_后端/lingyi_service/tests/test_permission_governance_audit_export.py	historical dirty forbidden	Unrelated backend test historical dirty excluded
NO	07_后端/lingyi_service/tests/test_request_id_sanitization.py	historical dirty forbidden	Unrelated backend test historical dirty excluded
NO	07_后端/lingyi_service/tests/test_style_profit_api.py	historical dirty forbidden	Unrelated backend test historical dirty excluded
NO	07_后端/lingyi_service/tests/test_subcontract_company_permission.py	historical dirty forbidden	Unrelated backend test historical dirty excluded
NO	07_后端/lingyi_service/tests/test_workshop_permissions.py	historical dirty forbidden	Unrelated backend test historical dirty excluded
NO	06_前端/	frontend	Frontend paths are forbidden
NO	07_后端/lingyi_service/app/	backend app	Backend app paths are forbidden
NO	03_需求与设计/02_开发计划/TASK-Z028B-01-PREP_Z028本地候选池冻结报告.md	candidate pool	Z028 candidate pool excluded
NO	03_需求与设计/02_开发计划/task_z028b_01_candidate_pool.json	candidate pool	Z028 candidate pool excluded
NO	03_需求与设计/02_开发计划/task_z028b_01_candidate_pool.tsv	candidate pool	Z028 candidate pool excluded
NO	07_后端/lingyi_service/tests/test_factory_statement_idempotency.py	CAND002-CAND005 range	Z028-CAND-002 target test excluded
NO	07_后端/lingyi_service/tests/test_quality_outbox.py	CAND002-CAND005 range	Z028-CAND-003 target test excluded
NO	07_后端/lingyi_service/tests/test_production_work_order_outbox.py	CAND002-CAND005 range	Z028-CAND-004 target test excluded
NO	07_后端/lingyi_service/tests/test_warehouse_stock_entry_worker.py	CAND002-CAND005 range	Z028-CAND-005 target test excluded
NO	03_需求与设计/02_开发计划/TASK-Z027B-*	old cycle artifacts	Z027 artifacts excluded
NO	03_需求与设计/02_开发计划/task_z027b_*	old cycle artifacts	Z027 artifacts excluded
NO	03_需求与设计/02_开发计划/TASK-Z026B-*	old cycle artifacts	Z026 artifacts excluded
NO	03_需求与设计/02_开发计划/task_z026b_*	old cycle artifacts	Z026 artifacts excluded
NO	03_需求与设计/02_开发计划/TASK-Z015B-*..TASK-Z025B-*	old cycle artifacts	Z015-Z025 artifacts excluded
NO	runtime/	runtime/cache	Runtime directory excluded
NO	cache/	runtime/cache	Cache directory excluded
