path	decision	reason
07_后端/lingyi_service/tests/test_quality_create_baseline.py	YES	Only allowed test contract fix file for Z022-CAND-001
00_交接与日志/HANDOVER_STATUS.md	NO	Historical dirty control-plane file outside this candidate ledger
03_需求与设计/01_架构设计/架构师会话日志.md	NO	Non-candidate architect log
03_需求与设计/02_开发计划/TASK-Z022B-01-PREP_Z022本地候选池重建与下一任务冻结报告.md	NO	Z022 pool-level evidence outside Z022-CAND-001 commit candidate
03_需求与设计/02_开发计划/task_z022b_01_local_dev_candidate_pool.json	NO	Z022 pool-level evidence outside Z022-CAND-001 commit candidate
03_需求与设计/02_开发计划/task_z022b_01_local_dev_candidate_pool.tsv	NO	Z022 pool-level evidence outside Z022-CAND-001 commit candidate
03_需求与设计/02_开发计划/task_z021b_22_final_candidate_pool_freeze.json	NO	Z021 final freeze evidence excluded
03_需求与设计/02_开发计划/task_z021b_21_permission_governance_audit_export_freeze.json	NO	Z021 non-candidate evidence excluded
03_需求与设计/02_开发计划/task_z020b_20_final_state_freeze.json	NO	Prior cycle final freeze evidence excluded
03_需求与设计/02_开发计划/task_z019b_20_final_state_freeze.json	NO	Prior cycle final freeze evidence excluded
06_前端/lingyi-pc/src/views/cross_module/CrossModuleView.vue	NO	Historical frontend dirty diff excluded
06_前端/lingyi-pc/src/views/production/ProductionPlanList.vue	NO	Historical frontend dirty diff excluded
06_前端/lingyi-pc/src/views/quality/QualityInspectionDetail.vue	NO	Historical frontend dirty diff excluded
06_前端/lingyi-pc/src/views/quality/QualityInspectionList.vue	NO	Historical frontend dirty diff excluded
06_前端/lingyi-pc/src/views/sales_inventory/SalesInventorySalesOrderDetail.vue	NO	Historical frontend dirty diff excluded
06_前端/lingyi-pc/src/views/sales_inventory/SalesInventorySalesOrderList.vue	NO	Historical frontend dirty diff excluded
07_后端/lingyi_service/app/schemas/report.py	NO	Historical backend dirty diff excluded
07_后端/lingyi_service/app/services/report_catalog_service.py	NO	Historical backend dirty diff excluded
07_后端/lingyi_service/app/services/system_config_catalog_service.py	NO	Historical backend dirty diff excluded
07_后端/lingyi_service/tests/test_bom_permissions.py	NO	Historical backend test dirty diff excluded
07_后端/lingyi_service/tests/test_logging_sanitization.py	NO	Historical backend test dirty diff excluded
07_后端/lingyi_service/tests/test_permission_governance_audit_export.py	NO	Z021 allowed test fix file excluded from Z022-CAND-001 ledger
07_后端/lingyi_service/tests/test_request_id_sanitization.py	NO	Historical backend test dirty diff excluded
07_后端/lingyi_service/tests/test_style_profit_api.py	NO	Historical backend test dirty diff excluded
07_后端/lingyi_service/tests/test_subcontract_company_permission.py	NO	Historical backend test dirty diff excluded
07_后端/lingyi_service/tests/test_workshop_permissions.py	NO	Historical backend test dirty diff excluded
07_后端/lingyi_service/app/routers/quality.py	NO	Quality create baseline router source evidence excluded
07_后端/lingyi_service/app/services/quality_service.py	NO	Quality create baseline service source evidence excluded
07_后端/lingyi_service/app/schemas/quality.py	NO	Quality create baseline schema source evidence excluded
07_后端/lingyi_service/tests/test_quality_api.py	NO	Quality shared test fixture evidence excluded
07_后端/lingyi_service/.pytest_cache	NO	Local pytest cache excluded
07_后端/lingyi_service/.venv	NO	Local virtual environment excluded
06_前端/lingyi-pc/dist	NO	Frontend build output excluded
06_前端/lingyi-pc/node_modules	NO	Frontend dependency directory excluded
07_后端/lingyi_service/runtime	NO	Local backend runtime excluded
