path	decision	reason
03_需求与设计/02_开发计划/TASK-Z028B-05-FIX-CAND001_factory_statement_confirm_cancel修复报告.md	NO	CAND001 evidence
03_需求与设计/02_开发计划/task_z028b_05_cand001_fix_result.json	NO	CAND001 evidence
03_需求与设计/02_开发计划/task_z028b_05_cand001_fix_result.tsv	NO	CAND001 evidence
03_需求与设计/02_开发计划/task_z028b_05_cand001_fix_stdout.txt	NO	CAND001 evidence
03_需求与设计/02_开发计划/TASK-Z028B-05-FIX-CAND001-SCOPE-DIAG_范围归因报告.md	NO	CAND001 evidence
03_需求与设计/02_开发计划/task_z028b_05_cand001_scope_diag.json	NO	CAND001 evidence
03_需求与设计/02_开发计划/task_z028b_05_cand001_scope_diag.tsv	NO	CAND001 evidence
03_需求与设计/02_开发计划/TASK-Z028B-06-LEDGER-CAND001_factory_statement_confirm_cancel提交候选账本报告.md	NO	CAND001 evidence
03_需求与设计/02_开发计划/task_z028b_06_cand001_freeze.json	NO	CAND001 evidence
03_需求与设计/02_开发计划/task_z028b_06_cand001_ledger.json	NO	CAND001 evidence
03_需求与设计/02_开发计划/task_z028b_06_cand001_ledger.tsv	NO	CAND001 evidence
03_需求与设计/02_开发计划/TASK-Z028B-07-STAGE-CAND001_factory_statement_confirm_cancel暂存报告.md	NO	CAND001 evidence
03_需求与设计/02_开发计划/task_z028b_07_cand001_stage_result.json	NO	CAND001 evidence
03_需求与设计/02_开发计划/task_z028b_07_cand001_stage_result.tsv	NO	CAND001 evidence
03_需求与设计/02_开发计划/TASK-Z028B-08-COMMIT-CAND001_factory_statement_confirm_cancel提交报告.md	NO	CAND001 evidence
03_需求与设计/02_开发计划/task_z028b_08_cand001_commit_result.json	NO	CAND001 evidence
03_需求与设计/02_开发计划/task_z028b_08_cand001_commit_result.tsv	NO	CAND001 evidence
03_需求与设计/02_开发计划/TASK-Z028B-09-ARCHIVE-CAND001_factory_statement_confirm_cancel归档确认报告.md	NO	CAND001 evidence
03_需求与设计/02_开发计划/task_z028b_09_cand001_archive_result.json	NO	CAND001 evidence
03_需求与设计/02_开发计划/task_z028b_09_cand001_archive_result.tsv	NO	CAND001 evidence
07_后端/lingyi_service/tests/test_factory_statement_confirm_cancel.py	NO	CAND001 test file
