decision	path	reason
NO	03_需求与设计/02_开发计划/task_z026b_01_candidate_pool.json	Z026 candidate pool is forbidden
NO	03_需求与设计/02_开发计划/task_z026b_01_candidate_pool.tsv	Z026 candidate pool is forbidden
NO	03_需求与设计/02_开发计划/*cand002*	Z026-CAND-002 future candidate artifacts are forbidden
NO	03_需求与设计/02_开发计划/*cand003*	Z026-CAND-003 future candidate artifacts are forbidden
NO	03_需求与设计/02_开发计划/*cand004*	Z026-CAND-004 future candidate artifacts are forbidden
NO	03_需求与设计/02_开发计划/*cand005*	Z026-CAND-005 future candidate artifacts are forbidden
NO	03_需求与设计/02_开发计划/TASK-Z015*	Z015 prior artifacts are forbidden
NO	03_需求与设计/02_开发计划/task_z015*	Z015 prior artifacts are forbidden
NO	03_需求与设计/02_开发计划/TASK-Z016*	Z016 prior artifacts are forbidden
NO	03_需求与设计/02_开发计划/task_z016*	Z016 prior artifacts are forbidden
NO	03_需求与设计/02_开发计划/TASK-Z017*	Z017 prior artifacts are forbidden
NO	03_需求与设计/02_开发计划/task_z017*	Z017 prior artifacts are forbidden
NO	03_需求与设计/02_开发计划/TASK-Z018*	Z018 prior artifacts are forbidden
NO	03_需求与设计/02_开发计划/task_z018*	Z018 prior artifacts are forbidden
NO	03_需求与设计/02_开发计划/TASK-Z019*	Z019 prior artifacts are forbidden
NO	03_需求与设计/02_开发计划/task_z019*	Z019 prior artifacts are forbidden
NO	03_需求与设计/02_开发计划/TASK-Z020*	Z020 prior artifacts are forbidden
NO	03_需求与设计/02_开发计划/task_z020*	Z020 prior artifacts are forbidden
NO	03_需求与设计/02_开发计划/TASK-Z021*	Z021 prior artifacts are forbidden
NO	03_需求与设计/02_开发计划/task_z021*	Z021 prior artifacts are forbidden
NO	03_需求与设计/02_开发计划/TASK-Z022*	Z022 prior artifacts are forbidden
NO	03_需求与设计/02_开发计划/task_z022*	Z022 prior artifacts are forbidden
NO	03_需求与设计/02_开发计划/TASK-Z023*	Z023 prior artifacts are forbidden
NO	03_需求与设计/02_开发计划/task_z023*	Z023 prior artifacts are forbidden
NO	03_需求与设计/02_开发计划/TASK-Z024*	Z024 prior artifacts are forbidden
NO	03_需求与设计/02_开发计划/task_z024*	Z024 prior artifacts are forbidden
NO	03_需求与设计/02_开发计划/TASK-Z025*	Z025 prior artifacts are forbidden
NO	03_需求与设计/02_开发计划/task_z025*	Z025 prior artifacts are forbidden
NO	07_后端/lingyi_service/.venv	Local runtime is forbidden
NO	07_后端/lingyi_service/.pytest_cache	Runtime cache is forbidden
NO	07_后端/lingyi_service/tests/__pycache__	Runtime cache is forbidden
NO	node_modules	Dependencies are forbidden
NO	dist	Build artifacts are forbidden
NO	build	Build artifacts are forbidden
NO	.github	GitHub configuration is forbidden
NO	.env	Production or local secret configuration is forbidden
NO	03_需求与设计/02_开发计划/*审计*	C audit records are forbidden
NO	03_需求与设计/02_开发计划/*架构*	A architect logs are forbidden
NO	production	Production configuration or runtime path is forbidden
