decision	path	category	reason
YES	03_需求与设计/02_开发计划/task_z030b_06_cand001_freeze.json	B06 ledger evidence	Z030-CAND-001 ledger freeze summary
YES	03_需求与设计/02_开发计划/task_z030b_06_cand001_ledger.json	B06 ledger evidence	Z030-CAND-001 ledger JSON
YES	03_需求与设计/02_开发计划/task_z030b_06_cand001_ledger.tsv	B06 ledger evidence	Z030-CAND-001 ledger TSV
YES	07_后端/lingyi_service/app/services/quality_purchase_receipt_listener.py	authorized backend app fix	authorized backend payload construction fix for quality auto trigger
NO	07_后端/lingyi_service/tests/test_quality_auto_trigger.py	target test excluded	target test was readonly and is not part of backend fix candidate
NO	03_需求与设计/02_开发计划/TASK-Z030B-01-PREP_Z030本地候选池重建报告.md	Z030 candidate pool	candidate pool excluded from CAND001 commit candidate
NO	03_需求与设计/02_开发计划/task_z030b_01_candidate_pool.json	Z030 candidate pool	candidate pool excluded from CAND001 commit candidate
NO	03_需求与设计/02_开发计划/task_z030b_01_candidate_pool.tsv	Z030 candidate pool	candidate pool excluded from CAND001 commit candidate
NO	Z030-CAND-002_EVIDENCE_AND_TARGET_RANGE	future candidate range	Z030-CAND-002 excluded from CAND001 commit candidate
NO	Z030-CAND-003_EVIDENCE_AND_TARGET_RANGE	future candidate range	Z030-CAND-003 excluded from CAND001 commit candidate
NO	Z030-CAND-004_EVIDENCE_AND_TARGET_RANGE	future candidate range	Z030-CAND-004 excluded from CAND001 commit candidate
NO	Z030-CAND-005_EVIDENCE_AND_TARGET_RANGE	future candidate range	Z030-CAND-005 excluded from CAND001 commit candidate
NO	06_前端	frontend	frontend is out of scope
NO	07_后端/lingyi_service/app/OTHER_BACKEND_APP_FILES_EXCEPT_quality_purchase_receipt_listener.py	other backend app files	only the authorized backend listener file is included in YES
NO	SHARED_ENGINEER_LOG_RANGE	shared engineer logs	shared logs are out of scope
NO	Z015_Z029_OLD_CYCLE_ARTIFACT_RANGE	old cycle artifacts	old Z015-Z029 artifacts excluded
NO	runtime/cache	runtime cache	runtime and cache paths excluded
NO	00_交接与日志/HANDOVER_STATUS.md	historical dirty forbidden path	historical dirty forbidden path excluded
NO	03_需求与设计/01_架构设计/架构师会话日志.md	historical dirty forbidden path	historical dirty forbidden path excluded
NO	03_需求与设计/02_开发计划/工程师会话日志.md	historical dirty forbidden path	historical dirty forbidden path excluded
NO	06_前端/lingyi-pc/src/views/cross_module/CrossModuleView.vue	historical dirty forbidden path	historical dirty forbidden path excluded
NO	06_前端/lingyi-pc/src/views/production/ProductionPlanList.vue	historical dirty forbidden path	historical dirty forbidden path excluded
NO	06_前端/lingyi-pc/src/views/quality/QualityInspectionDetail.vue	historical dirty forbidden path	historical dirty forbidden path excluded
NO	06_前端/lingyi-pc/src/views/quality/QualityInspectionList.vue	historical dirty forbidden path	historical dirty forbidden path excluded
NO	06_前端/lingyi-pc/src/views/sales_inventory/SalesInventorySalesOrderDetail.vue	historical dirty forbidden path	historical dirty forbidden path excluded
NO	06_前端/lingyi-pc/src/views/sales_inventory/SalesInventorySalesOrderList.vue	historical dirty forbidden path	historical dirty forbidden path excluded
NO	07_后端/lingyi_service/app/schemas/report.py	historical dirty forbidden path	historical dirty forbidden path excluded
NO	07_后端/lingyi_service/app/services/report_catalog_service.py	historical dirty forbidden path	historical dirty forbidden path excluded
NO	07_后端/lingyi_service/app/services/system_config_catalog_service.py	historical dirty forbidden path	historical dirty forbidden path excluded
NO	07_后端/lingyi_service/tests/test_bom_permissions.py	historical dirty forbidden path	historical dirty forbidden path excluded
NO	07_后端/lingyi_service/tests/test_logging_sanitization.py	historical dirty forbidden path	historical dirty forbidden path excluded
NO	07_后端/lingyi_service/tests/test_permission_governance_audit_export.py	historical dirty forbidden path	historical dirty forbidden path excluded
NO	07_后端/lingyi_service/tests/test_request_id_sanitization.py	historical dirty forbidden path	historical dirty forbidden path excluded
NO	07_后端/lingyi_service/tests/test_style_profit_api.py	historical dirty forbidden path	historical dirty forbidden path excluded
NO	07_后端/lingyi_service/tests/test_subcontract_company_permission.py	historical dirty forbidden path	historical dirty forbidden path excluded
NO	07_后端/lingyi_service/tests/test_workshop_permissions.py	historical dirty forbidden path	historical dirty forbidden path excluded
