path	decision	category	reason
07_后端/lingyi_service/tests/test_bom_permissions.py	NO	OTHER_TEST	Other test file is out of CAND004 scope
07_后端/lingyi_service/tests/test_logging_sanitization.py	NO	OTHER_TEST	Other test file is out of CAND004 scope
07_后端/lingyi_service/tests/test_permission_governance_audit_export.py	NO	OTHER_TEST	Other test file is out of CAND004 scope
07_后端/lingyi_service/tests/test_request_id_sanitization.py	NO	OTHER_TEST	Other test file is out of CAND004 scope
07_后端/lingyi_service/tests/test_style_profit_api.py	NO	OTHER_TEST	Other test file is out of CAND004 scope
07_后端/lingyi_service/tests/test_subcontract_company_permission.py	NO	OTHER_TEST	Other subcontract test is not the selected CAND004 target
07_后端/lingyi_service/tests/test_workshop_permissions.py	NO	OTHER_TEST	Other test file is out of CAND004 scope
03_需求与设计/02_开发计划/工程师会话日志.md	NO	SHARED_LOG	Shared engineer log is forbidden
03_需求与设计/02_开发计划/TASK-Z023B-01-PREP_Z023本地候选池报告.md	NO	CANDIDATE_POOL	Z023 candidate pool is excluded from CAND004 ledger YES
03_需求与设计/02_开发计划/task_z023b_01_local_candidate_pool.json	NO	CANDIDATE_POOL	Z023 candidate pool JSON is excluded from CAND004 ledger YES
03_需求与设计/02_开发计划/task_z023b_01_local_candidate_pool.tsv	NO	CANDIDATE_POOL	Z023 candidate pool TSV is excluded from CAND004 ledger YES
03_需求与设计/02_开发计划/TASK-Z023B-24-PREP_Z023剩余候选刷新报告.md	NO	CANDIDATE_POOL	B24 refresh is excluded by task boundary
03_需求与设计/02_开发计划/task_z023b_24_remaining_candidate_refresh.json	NO	CANDIDATE_POOL	B24 refresh JSON is excluded by task boundary
03_需求与设计/02_开发计划/task_z023b_24_remaining_candidate_refresh.tsv	NO	CANDIDATE_POOL	B24 refresh TSV is excluded by task boundary
03_需求与设计/02_开发计划/TASK-Z023B-09-ARCHIVE-CAND001_Z023候选001归档确认报告.md	NO	PRIOR_CANDIDATE	Z023-CAND-001 archive artifact is out of CAND004 scope
03_需求与设计/02_开发计划/task_z023b_09_cand001_archive_result.json	NO	PRIOR_CANDIDATE	Z023-CAND-001 archive JSON is out of CAND004 scope
03_需求与设计/02_开发计划/task_z023b_16_cand002_archive_result.json	NO	PRIOR_CANDIDATE	Z023-CAND-002 archive JSON is out of CAND004 scope
03_需求与设计/02_开发计划/task_z023b_23_cand003_archive_result.json	NO	PRIOR_CANDIDATE	Z023-CAND-003 archive JSON is out of CAND004 scope
03_需求与设计/02_开发计划/TASK-Z023B-43-PREP-CAND005_Z023候选005边界冻结报告.md	NO	FUTURE_CANDIDATE	Z023-CAND-005 future candidate scope is excluded
03_需求与设计/02_开发计划/task_z023b_43_cand005_boundary.json	NO	FUTURE_CANDIDATE	Z023-CAND-005 future candidate JSON is excluded
.pytest_cache	NO	CACHE_DEPENDENCY	Local cache is excluded
.venv	NO	CACHE_DEPENDENCY	Local dependency environment is excluded
dist	NO	CACHE_DEPENDENCY	Build output is excluded
node_modules	NO	CACHE_DEPENDENCY	Local dependencies are excluded
.git	NO	GIT_INTERNAL	Git internal state is excluded
